backend,dpr,scenario,kind,samples,physicalCoverage,peakChannelDelta,maxAlignmentError,physicalBoundsThickness
gpu,1.0,scale,hn,120,1,80,0.1171875,1.25
gpu,1.0,scale,rawSolid,120,1|2,80,0.46875,1.25
gpu,1.0,scale,rawGradient,120,1|2,80,0.46875,1.25
gpu,1.0,scale,alignedSolid,120,1,80,0.1171875,1.25
gpu,1.0,scale,alignedGradient,120,1,80,0.1171875,1.25
gpu,1.0,scalechange,hn,120,1|2,80,0.5,1|1.5|2
gpu,1.0,scalechange,rawSolid,120,1|2,80,0.5,1|1.5|2
gpu,1.0,scalechange,rawGradient,120,1|2,80,0.5,1|1.5|2
gpu,1.0,scalechange,alignedSolid,120,1|2,80,0.5,1|1.5|2
gpu,1.0,scalechange,alignedGradient,120,1|2,80,0.5,1|1.5|2
gpu,1.0,simple,hn,480,1,73|80,0,1
gpu,1.0,simple,rawSolid,480,1,80,0.5,1
gpu,1.0,simple,rawGradient,480,1,73|80,0.5,1
gpu,1.0,simple,alignedSolid,480,1,80,0,1
gpu,1.0,simple,alignedGradient,480,1,73|80,0,1
gpu,1.0,transform,hn,120,1,80,0.46002197265625,1
gpu,1.0,transform,rawSolid,120,1,80,0.5,1
gpu,1.0,transform,rawGradient,120,1,80,0.5,1
gpu,1.0,transform,alignedSolid,120,1,80,0.46002197265625,1
gpu,1.0,transform,alignedGradient,120,1,80,0.46002197265625,1
gpu,1.25,anchors,hn,132,1,80,0,1.0
gpu,1.25,anchors,rawSolid,132,1|2,80,0.5,1.25
gpu,1.25,anchors,rawGradient,132,1|2,80,0.5,1.25
gpu,1.25,anchors,alignedSolid,132,1,80,0,1.0
gpu,1.25,anchors,alignedGradient,132,1,80,0,1.0
gpu,1.25,clip,hn,528,0|1,0|73|80,0,1.0
gpu,1.25,clip,rawSolid,528,0|1,0|80,0.5,1.25
gpu,1.25,clip,rawGradient,528,0|1,0|73|80,0.5,1.25
gpu,1.25,clip,alignedSolid,528,0|1,0|80,0,1.0
gpu,1.25,clip,alignedGradient,528,0|1,0|73|80,0,1.0
gpu,1.25,layout,hn,132,1,80,0,1.0
gpu,1.25,layout,rawSolid,132,1|2,80,0.5,1.25
gpu,1.25,layout,rawGradient,132,1|2,80,0.5,1.25
gpu,1.25,layout,alignedSolid,132,1,80,0,1.0
gpu,1.25,layout,alignedGradient,132,1,80,0,1.0
gpu,1.25,mode,hn,132,1,73|80,0,1.0
gpu,1.25,mode,rawSolid,132,1|2,80,0.5,1.25
gpu,1.25,mode,rawGradient,132,1|2,80,0.5,1.25
gpu,1.25,mode,alignedSolid,132,1,80,0,1.0
gpu,1.25,mode,alignedGradient,132,1,80,0,1.0
gpu,1.25,move,hn,132,1,80,0,1.0
gpu,1.25,move,rawSolid,132,1|2,80,0.5,1.25
gpu,1.25,move,rawGradient,132,1|2,80,0.5,1.25
gpu,1.25,move,alignedSolid,132,1,80,0,1.0
gpu,1.25,move,alignedGradient,132,1,80,0,1.0
gpu,1.25,normalized,hn,528,1,73|80,0,1.0
gpu,1.25,normalized,rawSolid,528,1|2,80,0.5,1.25
gpu,1.25,normalized,rawGradient,528,1|2,73|80,0.5,1.25
gpu,1.25,normalized,alignedSolid,528,1,80,3.0517578125e-05,1.0
gpu,1.25,normalized,alignedGradient,528,1,73|80,3.0517578125e-05,1.0
gpu,1.25,reduced,plain,3,1,112,0,1.0
gpu,1.25,reduced,aa,3,1,112,0,1.0
gpu,1.25,reduced,gradient,3,1,112,0,1.0
gpu,1.25,reduced,scale,3,1,112,0,1.0
gpu,1.25,reduced,scaleGradient,3,1,112,0,1.0
gpu,1.25,reparent,hn,132,1,80,0,1.0
gpu,1.25,reparent,rawSolid,132,1|2,80,0.5,1.25
gpu,1.25,reparent,rawGradient,132,1|2,80,0.5,1.25
gpu,1.25,reparent,alignedSolid,132,1,80,0,1.0
gpu,1.25,reparent,alignedGradient,132,1,80,0,1.0
gpu,1.25,resize,hn,132,1,80,0.3359375000000142,1.25
gpu,1.25,resize,rawSolid,132,1|2,80,0.4921875,1.5625
gpu,1.25,resize,rawGradient,132,1|2,80,0.4921875,1.5625
gpu,1.25,resize,alignedSolid,132,1,80,0.3359375000000142,1.25
gpu,1.25,resize,alignedGradient,132,1,80,0.3359375000000142,1.25
gpu,1.25,scale,hn,132,1,80,0.125,1.25
gpu,1.25,scale,rawSolid,132,1|2,80,0.5,1.5625
gpu,1.25,scale,rawGradient,132,1|2,80,0.5,1.5625
gpu,1.25,scale,alignedSolid,132,1,80,0.125,1.25
gpu,1.25,scale,alignedGradient,132,1,80,0.125,1.25
gpu,1.25,scalechange,hn,132,1|2,80,0.5,1.0|1.5|2.0
gpu,1.25,scalechange,rawSolid,132,1|2|3,80,0.5,1.25|1.875|2.5
gpu,1.25,scalechange,rawGradient,132,1|2|3,80,0.5,1.25|1.875|2.5
gpu,1.25,scalechange,alignedSolid,132,1|2,80,0.5,1.0|1.5|2.0
gpu,1.25,scalechange,alignedGradient,132,1|2,80,0.5,1.0|1.5|2.0
gpu,1.25,simple,hn,528,1,73|80,0,1.0
gpu,1.25,simple,rawSolid,528,1|2,80,0.5,1.25
gpu,1.25,simple,rawGradient,528,1|2,73|80,0.5,1.25
gpu,1.25,simple,alignedSolid,528,1,80,0,1.0
gpu,1.25,simple,alignedGradient,528,1,73|80,0,1.0
gpu,1.25,transform,hn,132,1,80,0.42501068115234375,1.0
gpu,1.25,transform,rawSolid,132,1|2,80,0.5,1.25
gpu,1.25,transform,rawGradient,132,1|2,80,0.5,1.25
gpu,1.25,transform,alignedSolid,132,1,80,0.42501068115234375,1.0
gpu,1.25,transform,alignedGradient,132,1,80,0.42501068115234375,1.0
gpu,1.5,anchors,hn,126,1,80,0,1.0
gpu,1.5,anchors,rawSolid,126,1|2,80,0.5,1.5
gpu,1.5,anchors,rawGradient,126,1|2,80,0.5,1.5
gpu,1.5,anchors,alignedSolid,126,1,80,0,1.0
gpu,1.5,anchors,alignedGradient,126,1,80,0,1.0
gpu,1.5,clip,hn,504,0|1,0|73|80,0,1.0
gpu,1.5,clip,rawSolid,504,0|1|2,0|80,0.5,1.5
gpu,1.5,clip,rawGradient,504,0|1|2,0|73|80,0.5,1.5
gpu,1.5,clip,alignedSolid,504,0|1,0|80,0,1.0
gpu,1.5,clip,alignedGradient,504,0|1,0|73|80,0,1.0
gpu,1.5,layout,hn,126,1,80,0,1.0
gpu,1.5,layout,rawSolid,126,1|2,80,0,1.5
gpu,1.5,layout,rawGradient,126,1|2,80,0,1.5
gpu,1.5,layout,alignedSolid,126,1,80,0,1.0
gpu,1.5,layout,alignedGradient,126,1,80,0,1.0
gpu,1.5,mode,hn,126,1,73|80,0,1.0
gpu,1.5,mode,rawSolid,126,1|2,80,0.5,1.5
gpu,1.5,mode,rawGradient,126,1|2,80,0.5,1.5
gpu,1.5,mode,alignedSolid,126,1,80,0,1.0
gpu,1.5,mode,alignedGradient,126,1,80,0,1.0
gpu,1.5,move,hn,126,1,80,0,1.0
gpu,1.5,move,rawSolid,126,1|2,80,0.5,1.5
gpu,1.5,move,rawGradient,126,1|2,80,0.5,1.5
gpu,1.5,move,alignedSolid,126,1,80,0,1.0
gpu,1.5,move,alignedGradient,126,1,80,0,1.0
gpu,1.5,normalized,hn,504,1,73|80,0,1.0
gpu,1.5,normalized,rawSolid,504,1|2,80,0.5,1.5
gpu,1.5,normalized,rawGradient,504,1|2,73|80,0.5,1.5
gpu,1.5,normalized,alignedSolid,504,1,80,3.0517578125e-05,1.0
gpu,1.5,normalized,alignedGradient,504,1,73|80,3.0517578125e-05,1.0
gpu,1.5,reduced,plain,3,1,112,0,1.0
gpu,1.5,reduced,aa,3,1,112,0,1.0
gpu,1.5,reduced,gradient,3,1,112,0,1.0
gpu,1.5,reduced,scale,3,1,112,0,1.0
gpu,1.5,reduced,scaleGradient,3,1,112,0,1.0
gpu,1.5,reparent,hn,126,1,80,0,1.0
gpu,1.5,reparent,rawSolid,126,1|2,80,0.5,1.5
gpu,1.5,reparent,rawGradient,126,1|2,80,0.5,1.5
gpu,1.5,reparent,alignedSolid,126,1,80,0,1.0
gpu,1.5,reparent,alignedGradient,126,1,80,0,1.0
gpu,1.5,resize,hn,126,1,80,0.3718750000000455,1.25
gpu,1.5,resize,rawSolid,126,1|2,80,0.5,1.875
gpu,1.5,resize,rawGradient,126,1|2,80,0.5,1.875
gpu,1.5,resize,alignedSolid,126,1,80,0.3718750000000455,1.25
gpu,1.5,resize,alignedGradient,126,1,80,0.3718750000000455,1.25
gpu,1.5,scale,hn,126,1,80,0.1171875,1.25
gpu,1.5,scale,rawSolid,126,1|2,80,0.46875,1.875
gpu,1.5,scale,rawGradient,126,1|2,80,0.46875,1.875
gpu,1.5,scale,alignedSolid,126,1,80,0.1171875,1.25
gpu,1.5,scale,alignedGradient,126,1,80,0.1171875,1.25
gpu,1.5,scalechange,hn,126,1|2,80,0.5,1.0|1.5|2.0
gpu,1.5,scalechange,rawSolid,126,1|2|3,80,0.5,1.5|2.25|3.0
gpu,1.5,scalechange,rawGradient,126,1|2|3,80,0.5,1.5|2.25|3.0
gpu,1.5,scalechange,alignedSolid,126,1|2,80,0.5,1.0|1.5|2.0
gpu,1.5,scalechange,alignedGradient,126,1|2,80,0.5,1.0|1.5|2.0
gpu,1.5,simple,hn,504,1,73|80,0,1.0
gpu,1.5,simple,rawSolid,504,1|2,80,0.5,1.5
gpu,1.5,simple,rawGradient,504,1|2,73|80,0.5,1.5
gpu,1.5,simple,alignedSolid,504,1,80,0,1.0
gpu,1.5,simple,alignedGradient,504,1,73|80,0,1.0
gpu,1.5,transform,hn,126,1,80,0.3450164794921875,1.0
gpu,1.5,transform,rawSolid,126,1|2,80,0.5,1.5
gpu,1.5,transform,rawGradient,126,1|2,80,0.5,1.5
gpu,1.5,transform,alignedSolid,126,1,80,0.3450164794921875,1.0
gpu,1.5,transform,alignedGradient,126,1,80,0.3450164794921875,1.0
gpu,1.75,anchors,hn,132,1,80,0,1.0
gpu,1.75,anchors,rawSolid,132,1|2,80,0.5,1.75
gpu,1.75,anchors,rawGradient,132,1|2,80,0.5,1.75
gpu,1.75,anchors,alignedSolid,132,1,80,0,1.0
gpu,1.75,anchors,alignedGradient,132,1,80,0,1.0
gpu,1.75,clip,hn,528,0|1,0|73|80,0,1.0
gpu,1.75,clip,rawSolid,528,0|1|2,0|80,0.5,1.75
gpu,1.75,clip,rawGradient,528,0|1|2,0|73|80,0.5,1.75
gpu,1.75,clip,alignedSolid,528,0|1,0|80,0,1.0
gpu,1.75,clip,alignedGradient,528,0|1,0|73|80,0,1.0
gpu,1.75,layout,hn,132,1,80,1.1368683772161603e-13,1.0
gpu,1.75,layout,rawSolid,132,1|2,80,0.5,1.75
gpu,1.75,layout,rawGradient,132,1|2,80,0.5,1.75
gpu,1.75,layout,alignedSolid,132,1,80,1.1368683772161603e-13,1.0
gpu,1.75,layout,alignedGradient,132,1,80,1.1368683772161603e-13,1.0
gpu,1.75,mode,hn,132,1,73|80,0,1.0
gpu,1.75,mode,rawSolid,132,1|2,80,0.5,1.75
gpu,1.75,mode,rawGradient,132,1|2,80,0.5,1.75
gpu,1.75,mode,alignedSolid,132,1,80,0,1.0
gpu,1.75,mode,alignedGradient,132,1,80,0,1.0
gpu,1.75,move,hn,132,1,80,5.684341886080802e-14,1.0
gpu,1.75,move,rawSolid,132,1|2,80,0.5,1.75
gpu,1.75,move,rawGradient,132,1|2,80,0.5,1.75
gpu,1.75,move,alignedSolid,132,1,80,5.684341886080802e-14,1.0
gpu,1.75,move,alignedGradient,132,1,80,5.684341886080802e-14,1.0
gpu,1.75,normalized,hn,528,1,73|80,0,1.0
gpu,1.75,normalized,rawSolid,528,1|2,80,0.5,1.75
gpu,1.75,normalized,rawGradient,528,1|2,73|80,0.5,1.75
gpu,1.75,normalized,alignedSolid,528,1,80,4.57763671875e-05,1.0
gpu,1.75,normalized,alignedGradient,528,1,73|80,4.57763671875e-05,1.0
gpu,1.75,reduced,plain,3,1,112,0,1.0
gpu,1.75,reduced,aa,3,1,112,0,1.0
gpu,1.75,reduced,gradient,3,1,112,0,1.0
gpu,1.75,reduced,scale,3,1,112,0,1.0
